City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
429,La Palma,US,78.42,haze,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
433,Biak,ID,78.6,overcast clouds,-0.9131,122.8766,Penginapan Kim
435,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,Hotel Fórum
437,Grand-Lahou,CI,80.17,few clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
440,Freetown,SL,80.26,few clouds,8.484,-13.2299,The Country Lodge Hotel
442,Yulara,AU,75.04,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
445,Cabo San Lucas,MX,82.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
449,Todos Santos,MX,81.19,clear sky,23.45,-110.2167,Hotel California Todos Santos
456,Sulangan,PH,80.47,overcast clouds,11.1373,123.7228,Maia's Beach Resort
457,Esmeralda,CU,87.04,few clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
459,Sapa,PH,81.0,broken clouds,5.1544,120.3241,
462,Sinnamary,GF,77.45,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
463,Bullhead City,US,79.86,broken clouds,35.1478,-114.5683,Harrah's Laughlin
467,Sao Geraldo Do Araguaia,BR,76.08,broken clouds,-6.4006,-48.555,Hotel Por do Sol
469,Moerai,PF,78.66,overcast clouds,-22.4333,-151.3333,Le Manotel
470,Dzaoudzi,YT,80.49,clear sky,-12.7887,45.2699,Le Rocher
476,Batang Berjuntai,MY,75.45,broken clouds,3.3833,101.4167,Sime Darby Mill & Estate Bungalows
478,Alofi,NU,78.69,light intensity shower rain,-19.0595,-169.9187,Taloa Heights
485,Zaraza,VE,78.91,broken clouds,9.3503,-65.3245,Hotel Zaraza
487,Port Moresby,PG,80.02,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
492,Sawakin,SD,81.7,clear sky,19.1059,37.3321,فندق الدويم
495,Bonthe,SL,80.37,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
498,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
500,Gizo,SB,83.03,moderate rain,-8.103,156.8419,Imagination Island
503,Beloha,MG,77.4,clear sky,-25.1667,45.05,
508,Okitipupa,NG,77.09,broken clouds,6.5047,4.7839,Coastal Hotel & Suites
511,Arima,TT,80.62,few clouds,10.6333,-61.2833,Refine Home Style Ltd.
514,Catamarca,AR,78.04,few clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
515,Hobyo,SO,78.13,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
521,Kismayo,SO,79.41,scattered clouds,-0.3582,42.5454,Agan-Hotel
522,Balabac,PH,79.97,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
525,Mitsamiouli,KM,81.01,broken clouds,-11.3847,43.2844,Foyer ADM
528,Sembakung,ID,75.13,moderate rain,3.8167,117.25,
529,Piripiri,BR,84.83,broken clouds,-4.2733,-41.7769,Califórnia Hotel
533,Banjar,ID,78.66,moderate rain,-8.19,114.9675,The Hamsa Resort
534,Sao Miguel Do Araguaia,BR,75.92,few clouds,-13.275,-50.1628,Hotel Executivo Palace
538,Namatanai,PG,81.21,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
540,Takoradi,GH,80.37,overcast clouds,4.8845,-1.7554,Raybow International Hotel
541,Espita,MX,81.3,broken clouds,21.0167,-88.3167,Ya'axche' Senderos Celestes
542,Quelimane,MZ,82.35,clear sky,-17.8786,36.8883,Hotel Flamingo
544,Kendari,ID,77.49,overcast clouds,-3.945,122.4989,Hotel Wixel
545,Road Town,VG,80.69,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
547,Port-Gentil,GA,78.3,overcast clouds,-0.7193,8.7815,Fengshui Residence
549,Noumea,NC,85.98,clear sky,-22.2763,166.4572,Hôtel Le Lagon
550,Lazaro Cardenas,MX,82.22,few clouds,17.9583,-102.2,quinta antigua
554,Pilar,BR,78.73,clear sky,-9.5972,-35.9567,Pousada e churrascaria Manguaba
557,Oum Hadjer,TD,76.59,scattered clouds,13.2954,19.6966,
562,Caraubas,BR,82.62,overcast clouds,-5.7925,-37.5567,Pousada Veículos
571,Kerema,PG,83.44,overcast clouds,-7.9631,145.7785,Frena Lodge
