City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
235,Wuwei,37.9281,102.6414,28.76,48,100,9.44,CN,2021-12-06 22:39:32,overcast clouds
236,Gencsapati,47.285,16.5958,29.89,93,9,6.29,HU,2021-12-06 22:39:32,clear sky
237,Waddan,29.1614,16.139,50.34,37,0,17.81,LY,2021-12-06 22:39:33,clear sky
238,Pingliang,35.5392,106.6861,33.98,58,100,5.97,CN,2021-12-06 22:38:30,overcast clouds
239,Hatillo,18.4863,-66.8254,81.93,84,4,1.01,PR,2021-12-06 22:39:33,clear sky
240,Carutapera,-1.195,-46.02,77.25,93,67,5.99,BR,2021-12-06 22:34:43,broken clouds
241,Nakamura,32.9833,132.9333,45.61,81,0,4.99,JP,2021-12-06 22:39:33,clear sky
242,Tandil,-37.3217,-59.1332,68.4,49,0,5.88,AR,2021-12-06 22:38:10,clear sky
243,La Union,-5.4,-80.75,75.34,58,100,16.37,PE,2021-12-06 22:39:34,overcast clouds
244,Mayumba,-3.432,10.6554,75.65,91,100,5.17,GA,2021-12-06 22:39:34,overcast clouds
245,Pokhara,28.2333,83.9833,55.42,67,15,7.43,NP,2021-12-06 22:28:56,few clouds
246,Kampot,10.6167,104.1833,77.05,84,38,9.31,KH,2021-12-06 22:39:35,scattered clouds
247,Quixere,-5.0742,-37.9886,82.9,63,39,11.68,BR,2021-12-06 22:39:35,scattered clouds
248,Bell Ville,-32.6259,-62.6887,80.8,38,0,6.76,AR,2021-12-06 22:39:35,clear sky
249,Egvekinot,66.3167,-179.1667,2.68,91,100,5.97,RU,2021-12-06 22:35:13,overcast clouds
250,Port Macquarie,-31.4333,152.9167,74.89,75,100,9.91,AU,2021-12-06 22:30:03,moderate rain
251,Sao Pedro Do Sul,-29.6206,-54.1789,75.85,59,70,10.51,BR,2021-12-06 22:39:36,broken clouds
252,Sobolevo,54.4299,31.8996,28.54,98,100,6.35,RU,2021-12-06 22:39:36,snow
253,Nabire,-3.3667,135.4833,81.77,74,100,2.95,ID,2021-12-06 22:39:37,overcast clouds
254,Sao Filipe,14.8961,-24.4956,77.59,69,20,5.75,CV,2021-12-06 22:32:31,few clouds
255,Vilyuysk,63.7553,121.6247,-30.55,100,91,0.65,RU,2021-12-06 22:39:37,overcast clouds
256,Viedma,-40.8135,-62.9967,80.49,27,0,15.52,AR,2021-12-06 22:33:04,clear sky
257,Micheweni,-4.9667,39.8333,79.11,78,92,4.41,TZ,2021-12-06 22:39:37,overcast clouds
258,Rio Gallegos,-51.6226,-69.2181,75.25,29,0,26.46,AR,2021-12-06 22:39:38,clear sky
259,Pingxiang,27.6167,113.85,46.26,57,8,3.65,CN,2021-12-06 22:38:48,clear sky
260,Tasiilaq,65.6145,-37.6368,30.36,78,98,8.63,GL,2021-12-06 22:33:33,overcast clouds
261,Kaitangata,-46.2817,169.8464,58.93,77,87,11.43,NZ,2021-12-06 22:33:46,overcast clouds
262,Nyagan,62.1406,65.3936,-9.63,95,49,5.32,RU,2021-12-06 22:39:38,scattered clouds
263,Provideniya,64.3833,-173.3,14.36,73,75,13.42,RU,2021-12-06 22:34:09,broken clouds
264,Okakarara,-20.5833,17.4333,72.5,21,31,7.92,NA,2021-12-06 22:39:39,scattered clouds
265,Hamilton,39.1834,-84.5333,37.58,60,1,5.01,US,2021-12-06 22:30:23,clear sky
266,Abong Mbang,3.9833,13.1833,71.78,74,88,2.66,CM,2021-12-06 22:39:39,overcast clouds
267,Sain Alto,23.5833,-103.25,68.77,22,100,5.73,MX,2021-12-06 22:39:40,overcast clouds
268,Chegdomyn,51.1167,133.0167,-9.56,98,20,1.48,RU,2021-12-06 22:39:40,few clouds
269,Tiksi,71.6872,128.8694,-25.6,93,100,9.1,RU,2021-12-06 22:32:58,overcast clouds
270,Zhanaozen,43.3,52.8,38.84,67,10,0.63,KZ,2021-12-06 22:39:40,clear sky
271,Sao Jose Da Coroa Grande,-8.8978,-35.1478,79.27,75,14,9.15,BR,2021-12-06 22:30:26,few clouds
272,Faya,18.3851,42.4509,54.12,28,0,2.84,SA,2021-12-06 22:32:42,clear sky
273,Olafsvik,64.8945,-23.7142,35.47,78,100,19.89,IS,2021-12-06 22:35:27,light rain
274,Marzuq,14.4,46.4667,58.68,33,5,2.89,YE,2021-12-06 22:39:41,clear sky
275,Norman Wells,65.282,-126.8329,-9.36,70,20,5.75,CA,2021-12-06 22:39:41,few clouds
276,Cidreira,-30.1811,-50.2056,68.38,81,23,15.95,BR,2021-12-06 22:33:01,few clouds
277,Muravlenko,63.7898,74.523,-15.14,93,26,11.43,RU,2021-12-06 22:39:42,scattered clouds
278,Kapuskasing,49.4169,-82.4331,3.29,78,75,23.02,CA,2021-12-06 22:39:02,light snow
279,Neuquen,-38.9516,-68.0591,87.69,29,0,12.66,AR,2021-12-06 22:36:33,clear sky
280,Blackfoot,43.1905,-112.345,38.98,80,100,16.17,US,2021-12-06 22:39:42,overcast clouds
281,Amalapuram,16.5833,82.0167,74.03,90,3,4.0,IN,2021-12-06 22:39:43,clear sky
282,Praya,14.9215,-23.5087,75.74,78,20,18.41,CV,2021-12-06 22:39:43,haze
283,Rio Cuarto,-33.1307,-64.3499,80.37,50,0,18.41,AR,2021-12-06 22:39:43,clear sky
284,Puerto Penasco,31.3167,-113.5333,69.91,67,0,4.0,MX,2021-12-06 22:39:44,clear sky
285,Santarem,-2.4431,-54.7083,80.73,78,40,3.44,BR,2021-12-06 22:39:44,scattered clouds
286,Kaiserslautern,49.45,7.75,37.27,63,75,1.99,DE,2021-12-06 22:39:44,broken clouds
287,Chokurdakh,70.6333,147.9167,-22.68,97,100,1.83,RU,2021-12-06 22:33:37,overcast clouds
288,Unity,52.4501,-109.1682,0.25,91,82,6.6,CA,2021-12-06 22:39:45,broken clouds
289,Ardakan,32.31,54.0175,49.19,42,44,5.53,IR,2021-12-06 22:39:45,scattered clouds
290,Oktyabrskoye,43.0645,44.7417,26.74,100,75,4.47,RU,2021-12-06 22:39:45,fog
291,Kalat,29.0225,66.5916,40.14,15,0,4.36,PK,2021-12-06 22:39:46,clear sky
292,Gavle,60.6745,17.1417,13.35,80,81,5.01,SE,2021-12-06 22:39:46,broken clouds
293,Tiznit,29.5833,-9.5,59.4,30,0,5.46,MA,2021-12-06 22:39:46,clear sky
294,Bahua,25.85,80.6333,61.41,67,3,6.46,IN,2021-12-06 22:39:46,clear sky
295,Bull Savanna,17.8868,-77.5902,76.96,82,3,11.14,JM,2021-12-06 22:39:47,clear sky
296,Bilibino,68.0546,166.4372,-23.64,99,100,2.39,RU,2021-12-06 22:39:47,overcast clouds
297,Letnyaya Stavka,45.4306,43.4472,45.07,83,98,9.55,RU,2021-12-06 22:35:14,overcast clouds
298,Jieshi,22.8134,115.8257,59.25,62,2,6.93,CN,2021-12-06 22:39:47,clear sky
299,Faanui,-16.4833,-151.75,81.0,77,97,16.35,PF,2021-12-06 22:33:08,light rain
300,Maridi,4.9158,29.4742,74.44,49,62,2.59,SS,2021-12-06 22:39:48,broken clouds
301,Nouakchott,18.0858,-15.9785,69.73,24,61,11.74,MR,2021-12-06 22:39:48,broken clouds
302,Kefamenanu,-9.4467,124.4781,76.26,83,100,1.86,ID,2021-12-06 22:39:49,overcast clouds
303,Tura,25.5198,90.2201,61.25,95,17,2.89,IN,2021-12-06 22:33:42,few clouds
304,San Cristobal,7.7669,-72.225,77.18,73,53,0.76,VE,2021-12-06 22:39:49,broken clouds
305,Savonlinna,61.8699,28.88,11.05,85,90,6.91,FI,2021-12-06 22:39:49,light snow
306,Bairiki,1.3292,172.9752,86.0,70,40,14.97,KI,2021-12-06 22:33:31,scattered clouds
307,Fairbanks,64.8378,-147.7164,26.56,73,90,4.61,US,2021-12-06 22:32:28,overcast clouds
308,Bontang,0.1333,117.5,76.64,85,100,6.89,ID,2021-12-06 22:39:50,overcast clouds
309,Tingo Maria,-9.2895,-76.0088,73.36,84,54,1.5,PE,2021-12-06 22:39:50,broken clouds
310,North Bend,43.4065,-124.2243,52.16,94,90,8.05,US,2021-12-06 22:39:50,overcast clouds
311,Kazuno,40.1836,140.7872,38.01,95,100,2.13,JP,2021-12-06 22:39:51,overcast clouds
312,San Quintin,30.4833,-115.95,65.05,68,1,3.91,MX,2021-12-06 22:33:44,clear sky
313,Ambon,-3.6954,128.1814,78.94,89,40,6.91,ID,2021-12-06 22:30:32,scattered clouds
314,Poso,-1.3959,120.7524,79.59,75,100,3.42,ID,2021-12-06 22:34:38,overcast clouds
315,Dzhebariki-Khaya,62.2167,135.8,-17.91,100,100,2.19,RU,2021-12-06 22:39:51,overcast clouds
316,Yar-Sale,66.8333,70.8333,7.61,94,97,6.44,RU,2021-12-06 22:32:26,overcast clouds
